room_id,room_name,room_name_en,building_id,floor,capacity,room_type,status,has_screen,has_phone,has_whiteboard,has_projector,equipment_notes
1,A301会议室,A301 Meeting Room,1,3,8,标准会议室,可用,1,1,1,1,配备高清显示屏和视频会议设备
2,A302会议室,A302 Meeting Room,1,3,6,小型会议室,可用,1,1,1,0,适合小团队讨论
3,A401会议室,A401 Meeting Room,1,4,10,大型会议室,可用,1,1,1,1,配备投影仪和音响系统
4,A402会议室,A402 Meeting Room,1,4,4,小型会议室,可用,1,1,1,0,安静环境适合一对一讨论
5,A501会议室,A501 Meeting Room,1,5,12,培训室,可用,1,1,1,1,配备培训设备和可移动桌椅
6,A502会议室,A502 Meeting Room,1,5,6,视频会议室,可用,1,1,1,1,专业视频会议系统
7,A601会议室,A601 Meeting Room,1,6,8,标准会议室,可用,1,1,1,0,采光良好的会议空间
8,A602会议室,A602 Meeting Room,1,6,5,小型会议室,维护中,1,1,1,0,设备维护中
9,B201会议室,B201 Meeting Room,2,2,10,产品评审室,可用,1,1,1,1,配备大屏幕和展示设备
10,B202会议室,B202 Meeting Room,2,2,8,标准会议室,可用,1,1,1,0,适合日常会议
11,B301会议室,B301 Meeting Room,2,3,6,小型会议室,可用,1,1,1,0,温馨的讨论空间
12,B302会议室,B302 Meeting Room,2,3,12,培训室,可用,1,1,1,1,多媒体培训设备
13,B401会议室,B401 Meeting Room,2,4,8,标准会议室,可用,1,1,1,1,配备投影仪
14,B402会议室,B402 Meeting Room,2,4,4,小型会议室,可用,1,1,1,0,私密的会议空间
15,B501会议室,B501 Meeting Room,2,5,10,大型会议室,可用,1,1,1,1,高端会议设备
16,C101会议室,C101 Meeting Room,3,1,8,标准会议室,可用,1,1,1,0,一楼便利位置
17,C102会议室,C102 Meeting Room,3,1,6,小型会议室,可用,1,1,1,0,适合客户接待
18,C201会议室,C201 Meeting Room,3,2,10,销售会议室,可用,1,1,1,1,配备展示和演示设备
19,C202会议室,C202 Meeting Room,3,2,5,小型会议室,可用,1,1,1,0,安静的讨论环境
20,C301会议室,C301 Meeting Room,3,3,8,标准会议室,可用,1,1,1,1,配备完整的会议设施
21,C302会议室,C302 Meeting Room,3,3,3,小型会议室,可用,1,1,1,0,紧凑的会议空间